brand,sentiment,total_words,words,own_ratio,total_ratio,odds.ratio
Talisker,positive,14277,1730.0,0.12123546715226222,0.13041148269918745,-0.1052590864900355
Talisker,sadness,14277,352.0,0.024723350609329037,0.02120217312007962,0.22166213478666402
Talisker,surprise,14277,491.0,0.03445860764812999,0.036466587885671795,-0.08171080708038854
Talisker,trust,14277,816.0,0.05722089928561423,0.06192397008627474,-0.11395579761713412
Tamdhu,anger,1979,42.0,0.021717171717171718,0.01805587484422074,0.26636790599195787
Tamdhu,anticipation,1979,114.0,0.05808080808080808,0.054584188292094146,0.08957842765147576
Tamdhu,disgust,1979,73.0,0.03737373737373737,0.03530989560699559,0.081952284632092115
Tamdhu,fear,1979,49.0,0.025252525252525252,0.01780227637249029,0.5043659345523337
Tamdhu,joy,1979,111.0,0.05656565656565657,0.05542922526541431,0.029279553656053635
Tamdhu,negative,1979,124.0,0.06313131313131314,0.06256585673196113,0.012980191155299017
Tamdhu,positive,1979,263.0,0.13333333333333333,0.13041148269918745,0.03196659517124312
Tamdhu,sadness,1979,45.0,0.023232323232323233,0.02120217312007962,0.13192128924196045
Tamdhu,surprise,1979,67.0,0.03434343434343434,0.036466587885671795,-0.0865408994998253
Tamdhu,trust,1979,152.0,0.07727272727272727,0.06192397008627474,0.3194613485992978
Tamnavulin,anger,789,16.0,0.021518987341772152,0.01805587484422074,0.25314186444270603
Tamnavulin,anticipation,789,47.0,0.060759493670886074,0.054584188292094146,0.15462674933076348
Tamnavulin,disgust,789,40.0,0.05189873417721519,0.03530989560699559,0.5556267955237327
Tamnavulin,fear,789,16.0,0.021518987341772152,0.01780227637249029,0.27354845793045524
Tamnavulin,joy,789,51.0,0.06582278481012659,0.05542922526541431,0.2479402216420484
Tamnavulin,negative,789,41.0,0.053164556962025315,0.06256585673196113,-0.23491079882552124
Tamnavulin,positive,789,104.0,0.13291139240506328,0.13041148269918745,0.027393865381418907
Tamnavulin,sadness,789,19.0,0.02531645569620253,0.02120217312007962,0.25586329997481655
Tamnavulin,surprise,789,34.0,0.04430379746835443,0.036466587885671795,0.28085514809730855
Tamnavulin,trust,789,51.0,0.06582278481012659,0.06192397008627474,0.08808909595024515
Té Bheag,anger,522,7.0,0.015296367112810707,0.01805587484422074,-0.23927926999010954
Té Bheag,anticipation,522,13.0,0.02676864244741874,0.054584188292094146,-1.0279391225152645
Té Bheag,disgust,522,11.0,0.022944550669216062,0.03530989560699559,-0.6219210015556708
Té Bheag,fear,522,9.0,0.019120458891013385,0.01780227637249029,0.10305541838500208
Té Bheag,joy,522,16.0,0.032504780114722756,0.05542922526541431,-0.7699949484311802
Té Bheag,negative,522,34.0,0.06692160611854685,0.06256585673196113,0.09709650215820884
Té Bheag,positive,522,56.0,0.1089866156787763,0.13041148269918745,-0.25891993130243807
Té Bheag,sadness,522,5.0,0.011472275334608031,0.02120217312007962,-0.8860605873738656
Té Bheag,surprise,522,15.0,0.030592734225621414,0.036466587885671795,-0.253386162030134
Té Bheag,trust,522,35.0,0.06883365200764818,0.06192397008627474,0.15261608606898922
Teachers,anger,1109,23.0,0.021621621621621623,0.01805587484422074,0.2600064057405198
Teachers,anticipation,1109,63.0,0.05765765765765766,0.054584188292094146,0.07902913043660417
Teachers,disgust,1109,37.0,0.03423423423423423,0.03530989560699559,-0.04463281382376856
Teachers,fear,1109,19.0,0.018018018018018018,0.01780227637249029,0.017378593394475225
Teachers,joy,1109,61.0,0.055855855855855854,0.05542922526541431,0.011061695714828458
